experiment,epoch,train_loss,val_loss,val_accuracy
B2_BN_DO02_SGDM,17,0.3772883177227444,0.4321335616409779,0.8506
B2_BN_DO02_SGDM,18,0.36777596485349867,0.42756085224151613,0.8526
B2_BN_DO02_SGDM,19,0.35638029253217907,0.38335255086421965,0.8662
B2_BN_DO02_SGDM,20,0.3379711170726352,0.4154623385131359,0.8592
B2_BN_DO05_SGDM,1,1.5446819746229383,1.2112936599731445,0.563
B2_BN_DO05_SGDM,2,1.140424585448371,1.2625098468780518,0.5736
B2_BN_DO05_SGDM,3,0.9623302269829644,0.8947778177261353,0.6776
B2_BN_DO05_SGDM,4,0.8543263717969258,0.8222890412330628,0.7034
B2_BN_DO05_SGDM,5,0.7839840393384298,0.6834271378040314,0.76
B2_BN_DO05_SGDM,6,0.7289453523847792,0.6675333338260651,0.7682
B2_BN_DO05_SGDM,7,0.6834252145449321,0.6395612790226937,0.7736
B2_BN_DO05_SGDM,8,0.6514261127259996,0.6119976392507553,0.7864
B2_BN_DO05_SGDM,9,0.6108677337222629,0.5461879328787327,0.8112
B2_BN_DO05_SGDM,10,0.5763763641251458,0.5633827403068542,0.808
B2_BN_DO05_SGDM,11,0.552385125403934,0.5395133082389831,0.8134
B2_BN_DO05_SGDM,12,0.531565275669098,0.5085676175773144,0.826
B2_BN_DO05_SGDM,13,0.501695827738444,0.4845430831134319,0.8326
B2_BN_DO05_SGDM,14,0.48714440455966523,0.5006266131162643,0.8328
B2_BN_DO05_SGDM,15,0.4686712288326687,0.47122683680057526,0.8414
B2_BN_DO05_SGDM,16,0.45338852643966676,0.47343977475464344,0.8436
B2_BN_DO05_SGDM,17,0.4369810157140096,0.47524979294091463,0.835
B2_BN_DO05_SGDM,18,0.427081764655643,0.4574574614524841,0.8452
B2_BN_DO05_SGDM,19,0.4135566821946038,0.45178964841365815,0.8486
B2_BN_DO05_SGDM,20,0.39390217304229735,0.4377713353171945,0.8558
B2_BN_DO02_Adam,1,1.474996487511529,1.0601661394119262,0.6188
